,Survey_ID,black,native,asian,hawaiian,other_race,unsure_race,latinx,fst5,snd5,trd5,age_18-25,age_26-35,age_36-45,age_46-55,age_56-65,age_66+,age_Under 18,gender_Gender non-conforming or non-binary or other,gender_Man,gender_Prefer not to say,gender_Woman
612,1380,1,0,0,0,1,0,0,False,False,True,0,1,0,0,0,0,0,0,1,0,0
613,1389,1,0,0,0,0,0,0,True,False,False,0,0,0,0,1,0,0,0,1,0,0
616,1399,0,0,0,0,1,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
619,1420,1,0,0,0,0,0,0,False,False,True,0,1,0,0,0,0,0,0,1,0,0
620,1424,1,0,0,0,0,0,0,False,False,False,0,0,0,1,0,0,0,0,1,0,0
625,1441,0,0,0,0,1,0,0,True,False,False,0,1,0,0,0,0,0,0,1,0,0
627,1445,1,0,0,0,0,0,0,False,True,False,0,1,0,0,0,0,0,0,1,0,0
631,1456,1,0,0,0,0,0,0,True,False,False,0,1,0,0,0,0,0,0,1,0,0
632,1459,1,0,0,0,0,0,0,False,False,False,0,1,0,0,0,0,0,0,1,0,0
633,1462,0,0,0,0,1,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
635,1466,1,0,0,0,0,0,0,True,False,False,0,1,0,0,0,0,0,0,1,0,0
636,1467,1,0,0,0,0,0,0,False,True,False,0,0,1,0,0,0,0,0,1,0,0
637,1468,1,0,0,0,0,0,0,True,False,False,1,0,0,0,0,0,0,0,1,0,0
638,1474,1,0,0,0,0,0,0,False,True,False,0,1,0,0,0,0,0,0,1,0,0
639,1477,0,0,0,0,1,0,0,False,False,True,0,1,0,0,0,0,0,0,1,0,0
642,1489,1,0,0,0,0,0,0,True,False,False,0,1,0,0,0,0,0,0,1,0,0
645,1498,1,0,0,0,0,0,0,False,False,False,1,0,0,0,0,0,0,0,1,0,0
647,1501,1,0,0,0,0,0,1,True,False,False,1,0,0,0,0,0,0,1,0,0,0
652,1522,1,0,0,0,0,0,0,False,False,True,0,0,1,0,0,0,0,0,1,0,0
654,1526,0,1,0,0,0,0,0,False,False,True,0,1,0,0,0,0,0,0,1,0,0
655,1529,1,0,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,0,1,0,0
656,1532,1,0,0,0,0,0,0,False,False,False,0,1,0,0,0,0,0,0,1,0,0
657,1534,1,0,0,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,0,0,1
659,1541,1,0,0,0,0,0,0,False,True,False,1,0,0,0,0,0,0,0,1,0,0
660,1542,0,1,0,0,0,0,0,False,True,False,0,0,1,0,0,0,0,0,1,0,0
664,1552,1,0,0,0,0,0,0,False,False,True,0,1,0,0,0,0,0,0,1,0,0
665,1560,0,0,1,0,0,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
666,1564,1,0,0,0,0,0,0,False,True,False,0,0,1,0,0,0,0,0,1,0,0
669,1570,1,0,0,0,0,0,0,False,True,False,0,1,0,0,0,0,0,0,1,0,0
672,1583,1,0,0,1,0,0,0,False,False,False,0,0,1,0,0,0,0,0,1,0,0
673,1584,1,0,0,0,0,0,0,False,True,False,1,0,0,0,0,0,0,0,1,0,0
675,1586,1,0,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,0,1,0,0
677,1593,1,0,0,0,0,0,0,False,False,False,1,0,0,0,0,0,0,0,1,0,0
679,1596,1,0,0,0,0,0,0,True,False,False,0,0,1,0,0,0,0,0,1,0,0
680,1597,0,0,0,0,1,0,0,True,False,False,0,1,0,0,0,0,0,0,1,0,0
682,1600,1,1,0,0,1,0,0,False,False,True,0,0,1,0,0,0,0,0,1,0,0
684,1605,0,0,0,0,1,0,1,True,False,False,0,1,0,0,0,0,0,0,1,0,0
688,1616,1,0,0,0,0,0,0,False,False,False,1,0,0,0,0,0,0,0,1,0,0
689,1617,1,1,0,0,0,0,0,False,True,False,0,0,1,0,0,0,0,0,1,0,0
691,1619,0,1,0,0,0,0,1,False,True,False,0,0,1,0,0,0,0,0,1,0,0
693,1627,1,0,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,0,1,0,0
696,1636,1,0,0,0,0,0,0,False,False,False,0,0,0,1,0,0,0,0,1,0,0
697,1640,1,0,0,0,0,0,0,False,False,True,0,0,1,0,0,0,0,0,1,0,0
706,1673,1,0,0,0,0,0,0,False,False,False,1,0,0,0,0,0,0,0,1,0,0
708,1675,1,0,0,0,0,0,0,False,False,False,1,0,0,0,0,0,0,0,1,0,0
709,1680,1,0,0,0,0,0,0,True,False,False,0,0,1,0,0,0,0,0,1,0,0
710,1693,0,0,0,0,0,1,1,True,False,False,1,0,0,0,0,0,0,0,0,0,1
711,1697,1,0,0,0,0,0,0,True,False,False,1,0,0,0,0,0,0,0,1,0,0
716,1709,1,0,0,0,0,0,0,False,False,True,0,0,0,1,0,0,0,0,1,0,0
